class,jo,prod
112,130830ASY,chloral hydrate
112,130832ASY,chloral hydrate
112,130833ASY,chloral hydrate
112,149203ATB,doxepin hydrochloride (as doxepin
112,149204ATB,doxepin hydrochloride (as doxepin
112,160601ATB,flunitrazepam
112,161801ATB,flurazepam hydrochloride
112,211701ATB,phenobarbital
112,243501ATB,triazolam
112,243502ATB,triazolam
112,250501ATB,zolpidem tartrate
112,250502ATB,zolpidem tartrate
112,250503ATR,zolpidem tartrate
112,250504ATR,zolpidem tartrate
112,680401ATB,eszopiclone
112,680402ATB,eszopiclone
112,680403ATB,eszopiclone
112,717401ACH,zaleplon
112,717402ACH,zaleplon
113,123130ASY,carbamazepine
113,123102ATB,carbamazepine
113,123102ATR,carbamazepine
113,123104ATR,carbamazepine
113,136401ATB,clonazepam
113,146801ACH,diphenylhydantoin sodium
113,146801ATB,diphenylhydantoin sodium
113,147701ATR,divalproex sodium (as divalproex
113,147702ATR,divalproex sodium (as divalproex
113,147801ACH,divalproex sodium particle (as divalproex
113,155901ACS,ethosuximide
113,164201ACH,gabapentin
113,164202ACH,gabapentin
113,164203ACH,gabapentin
113,164204ATB,gabapentin
113,164205ATB,gabapentin
113,181001ATB,lamotrigine
113,181002ATB,lamotrigine
113,181003ATB,lamotrigine
113,181004ATB,lamotrigine
113,206330ASS,oxcarbazepine
113,206301ATB,oxcarbazepine
113,206302ATB,oxcarbazepine
113,206303ATB,oxcarbazepine
113,217801ATB,primidone
113,229734ASY,sodium valproate
113,229701ATR,sodium valproate
113,229703ATB,sodium valproate
113,229705ATR,sodium valproate
113,229706ATR,sodium valproate
113,229707ATR,sodium valproate
113,241801ACR,topiramate
113,241801ATB,topiramate
113,241802ACR,topiramate
113,241803ACH,topiramate
113,241803ACR,topiramate
113,241803ATB,topiramate
113,241804ACH,topiramate
113,241804ACR,topiramate
113,241804ATB,topiramate
113,246901ATE,valproate magnesium
113,246902ATE,valproate magnesium
113,246903ATE,valproate magnesium
113,247002ACS,valproic acid
113,247701ATB,vigabatrin
113,250601ATB,zonisamide
113,483701ATB,tetrabenazine
113,488530ALQ,levetiracetam
113,488536ALQ,levetiracetam
113,488501ATB,levetiracetam
113,488501ATR,levetiracetam
113,488502ATB,levetiracetam
113,488503ATB,levetiracetam
113,488505ATB,levetiracetam
113,488505ATR,levetiracetam
113,509101ACH,stiripentol
113,509401ATB,rufinamide
113,509402ATB,rufinamide
113,509403ATB,rufinamide
113,611702ATB,lacosamide
113,611703ATB,lacosamide
113,611704ATB,lacosamide
113,611705ATB,lacosamide
113,642407ASS,perampanel (as perampanel anhydrate
113,642401ATB,perampanel (as perampanel anhydrate
113,642402ATB,perampanel (as perampanel anhydrate
113,642403ATB,perampanel (as perampanel anhydrate
113,642404ATB,perampanel (as perampanel anhydrate
113,642405ATB,perampanel (as perampanel anhydrate
113,642406ATB,perampanel (as perampanel anhydrate
113,692701ALQ,cannabidiol
113,700901ATB,eslicarbazepine acetate
113,700902ATB,eslicarbazepine acetate
114,100901ACH,aceclofenac
114,100901ACS,aceclofenac
114,100901ATB,aceclofenac
114,100903ATR,aceclofenac
114,101332ASY,acetaminophen
114,101330ASS,acetaminophen
114,101303ATB,acetaminophen
114,101305ATB,acetaminophen
114,101401ATB,acetaminophen(encapsulated)
114,101404ATB,acetaminophen(encapsulated)
114,101404ATR,acetaminophen(encapsulated)
114,101406ATB,acetaminophen(encapsulated)
114,101430ATR,acetaminophen(encapsulated)
114,110702ATB,aspirin
114,142331ASY,dexibuprofen
114,142332ASY,dexibuprofen
114,142333ASY,dexibuprofen
114,142334ASY,dexibuprofen
114,142336ASY,dexibuprofen
114,142337ASY,dexibuprofen
114,142301ACS,dexibuprofen
114,142301ATB,dexibuprofen
114,142301ATR,dexibuprofen
114,142302ATB,dexibuprofen
114,142303ATB,dexibuprofen
114,143402ATB,diclofenac potassium
114,143504ATB,diclofenac sodium
114,143506ATB,diclofenac sodium
114,156602ACH,etodolac
114,156602ATB,etodolac
114,156603ATB,etodolac
114,156603ATR,etodolac
114,156604ATR,etodolac
114,172833ASY,ibuprofen
114,172834ASY,ibuprofen
114,172835ASY,ibuprofen
114,172836ASY,ibuprofen
114,172837ASY,ibuprofen
114,172838ASY,ibuprofen
114,172802ACS,ibuprofen
114,172802ATB,ibuprofen
114,172806ATB,ibuprofen
114,172807ATR,ibuprofen
114,173502ATB,imidazole salicylate
114,180001ATB,ketorolac tromethamine
114,186101ATB,loxoprofen sodium hydrate (as loxoprofen sodium
114,186102ATR,loxoprofen sodium hydrate (as loxoprofen sodium
114,189701ACH,meloxicam
114,189701ATB,meloxicam
114,189701ATD,meloxicam
114,189702ACH,meloxicam
114,198102ATB,nabumetone
114,199401ATR,naproxen
114,199404ATB,naproxen
114,199501ATB,naproxen sodium
114,201801ATB,nimesulide
114,214001ACH,piroxicam
114,214001ATB,piroxicam
114,214004ACH,piroxicam
114,214004ATB,piroxicam
114,214202ATB,piroxicam β-cyclodextrin (as piroxicam
114,218602ATB,proglumetacin maleate
114,233201ATB,sulindac
114,233802ATB,sumatriptan succinate (as sumatriptan
114,233803ATB,sumatriptan succinate (as sumatriptan
114,234401ATB,talniflumate
114,242302ATR,tramadol hydrochloride
114,242304ATR,tramadol hydrochloride
114,242301ATR,tramadol hydrochloride
114,242305ACH,tramadol hydrochloride
114,242305ATB,tramadol hydrochloride
